"MONTAGNIEU";"01470";"5.46667";"45.8"
"CHAMPAGNE-EN-VALROMEY";"01260";"5.68333";"45.9"
"AMBERIEUX-EN-DOMBES";"01330";"4.9";"46"
"LA BOISSE";"01120";"5.03333";"45.85"
"PARCIEUX";"01600";"4.81667";"45.9167"
"SAINT-DIDIER-D'AUSSIAT";"01340";"5.06667";"46.3"
"SAINT-NIZIER-LE-BOUCHOUX";"01560";"5.15";"46.45"
"ARS-SUR-FORMANS";"01480";"4.81667";"45.9833"
"ANGLEFORT";"01350";"5.80833";"45.9167"
"CORLIER";"01110";"5.5";"46.0333"
"FERNEY-VOLTAIRE";"01210";"6.11667";"46.25"
"SAINT-MAURICE-DE-REMENS";"01500";"5.28333";"45.95"
"CHATILLON-LA-PALUD";"01320";"5.25";"45.9667"
"SAINT-SULPICE";"01340";"5.04167";"46.3203"
"SAINT-BOIS";"01300";"5.63333";"45.7"
"VIRIGNIN";"01300";"5.71667";"45.7167"
"PREMILLIEU";"01110";"5.56667";"45.8667"
"GENOUILLEUX";"01090";"4.78333";"46.1167"
"REYSSOUZE";"01190";"4.91667";"46.4333"
"COLLONGES";"01550";"5.9";"46.1333"
"SAINT-GERMAIN-DE-JOUX";"01130";"5.73333";"46.1833"
"BREGNIER-CORDON";"01300";"5.61667";"45.65"
"SAINT-MARTIN-LE-CHATEL";"01310";"5.11667";"46.2833"
"MARIGNIEU";"01300";"5.71667";"45.8"
"LES NEYROLLES";"01130";"5.63333";"46.1333"
"SULIGNAT";"01400";"4.96667";"46.1667"
"BENY";"01370";"5.28333";"46.3333"
"INJOUX-GENISSIAT";"01200";"5.78333";"46.05"
"CHANAY";"01420";"5.78333";"46"
"CHATILLON-SUR-CHALARONNE";"01400";"4.96667";"46.1167"
"FARGES";"01550";"5.91667";"46.1667"
"SAINT-ALBAN";"01450";"5.45";"46.1"
"CURTAFOND";"01310";"5.08333";"46.2667"
"VIRIAT";"01440";"5.21667";"46.25"
"BELLEYDOUX";"01130";"5.76667";"46.25"
"BAGE-LE-CHATEL";"01380";"4.93333";"46.3"
"SAINTE-OLIVE";"01330";"4.93333";"46.0167"
"SAINT-GENIS-SUR-MENTHON";"01380";"5.01667";"46.2833"
"DOMSURE";"01270";"5.3";"46.4167"
"CHAVANNES-SUR-SURAN";"01250";"5.41667";"46.2667"
"PRIAY";"01160";"5.28333";"46"
"PEYRIEU";"01300";"5.67751";"45.6767"
"LALLEYRIAT";"01130";"5.71667";"46.15"
"SERGY";"01630";"6";"46.25"
"SAINT-MARTIN-DU-FRENE";"01430";"5.55";"46.1333"
"SAINT-MAURICE-DE-BEYNOST";"01700";"4.96667";"45.8333"
"SERVAS";"01240";"5.16667";"46.1333"
"CUZIEU";"01300";"5.67445";"45.8192"
"JAYAT";"01340";"5.11667";"46.3667"
"LAVOURS";"01350";"5.76667";"45.8"
